environment,file,label,main_freq_mean,main_freq_std,main_freq_velocity_mean,main_freq_velocity_std,main_freq_range,main_freq_jump_count,main_freq_jump_ratio,main_freq_smoothness,peak_energy_mean,num_frames
cafe,stressed_13.wav,stressed,496.78178267045456,212.80641949096096,76.18856837606837,142.96452088647288,1007.8125,83,0.23646723646723647,0.006945951812459301,56.064380306186315,352
cafe,stressed_14.wav,stressed,421.67524857954544,209.3221113204934,82.19818376068376,132.72251496363302,1031.25,96,0.27350427350427353,0.0065298507462686565,58.27192385535719,352
cafe,stressed_15.wav,stressed,383.23196308724835,190.32276682879913,76.88130605381166,137.73107622975613,1781.25,112,0.25112107623318386,0.006929474109363063,51.47840495031927,447
cafe,stressed_16.wav,stressed,455.60064935064935,244.23890968401577,74.15771484375,131.92631484705302,1359.375,93,0.2421875,0.007287620796358092,52.88453552318108,385
cafe,stressed_17.wav,stressed,380.7832792207792,182.51239119237823,57.86848534201955,105.00718445884806,914.0625,68,0.22149837133550487,0.009104246975013528,61.49718464154776,308
cafe,stressed_18.wav,stressed,377.2265625,207.12170414900956,50.340695488721806,109.50672424222421,1031.25,59,0.14786967418546365,0.010626740737897648,67.08299264625776,400
cafe,stressed_19.wav,stressed,363.68075284090907,216.5516277129527,69.57799145299145,160.38525914360008,1523.4375,70,0.19943019943019943,0.007527134648341678,56.075362141788155,352
cafe,stressed_2.wav,stressed,221.2631118881119,87.87548504313447,41.94078947368421,77.39006813170126,562.5,56,0.19649122807017544,0.01247772325486244,20.053936328087655,286
cafe,stressed_20.wav,stressed,334.29276315789474,205.7751876201845,58.50944244604317,132.95084741317586,1453.125,86,0.20623501199040767,0.009033892024902922,47.839027328281354,418
cafe,stressed_21.wav,stressed,317.1588302752294,170.3487911700703,43.911637931034484,91.77641103301906,820.3125,74,0.17011494252873563,0.011881377856561107,56.93244460961833,436
cafe,stressed_3.wav,stressed,191.2286931818182,77.29474738212222,33.2402566539924,60.2500409968283,351.5625,35,0.13307984790874525,0.016243843653004842,17.50625440388015,264
cafe,stressed_intense_1.wav,stressed,348.57954545454544,198.45997703163547,52.3681640625,116.15084849707415,984.375,63,0.1640625,0.010122601085602714,42.93926735819898,385
cafe,stressed_intense_2.wav,stressed,351.4441287878788,211.62028429253093,68.11708860759494,142.55759730354782,1242.1875,87,0.22025316455696203,0.007922792985613545,46.22274813495137,396
cafe,stressed_intense_3.wav,stressed,308.9488636363636,152.85048317161446,45.80710431654676,80.22799839664407,632.8125,77,0.18465227817745802,0.011882404187404936,44.110661547214384,418
cafe,stressed_intense_4.wav,stressed,344.9041193181818,185.51693004747196,61.930523917995444,106.5023969999003,890.625,113,0.25740318906605925,0.00885398505131976,39.40253610688008,440
cafe,stressed_intense_5.wav,stressed,404.97159090909093,211.49843155654392,70.52621580547113,148.2935493458403,1476.5625,70,0.2127659574468085,0.0076016877832707835,59.1182508115699,330
cafe,stressed_intense_6.wav,stressed,410.48916903409093,202.91291409397758,62.29967948717949,169.12580553201337,1921.875,65,0.18518518518518517,0.008338296605122097,61.78166961227742,352
cafe,stressed_intense_7.wav,stressed,372.0407196969697,190.980680033043,69.30379746835443,131.24506422838692,1054.6875,90,0.22784810126582278,0.007834179840656957,46.92017658450229,396
cafe,stressed_intense_8.wav,stressed,379.9937855113636,183.1763849306729,53.81944444444444,98.81472466970867,890.625,72,0.20512820512820512,0.00969738949738084,58.68826531768784,352
cafe,stressed_intense_9.wav,stressed,405.0232438016529,190.88871376169814,74.38858695652173,138.41344294073002,1429.6875,114,0.2360248447204969,0.007393438898193536,58.49711719145402,484
cafe,tired_1.wav,tired,148.08238636363637,42.798885030220134,13.132540214477212,38.71755127208364,328.125,14,0.03753351206434316,0.03863003563153488,21.660100276457435,374
cafe,tired_14.wav,tired,252.87319214876032,120.50368662845904,30.036878881987576,73.85229492077089,820.3125,53,0.10973084886128365,0.01725909000373738,39.56527067846061,484
cafe,tired_15.wav,tired,288.2191051136364,176.02467841497534,63.68595825426945,126.37109010962676,1195.3125,115,0.21821631878557876,0.00843568889788767,29.971639743635794,528
cafe,tired_16.wav,tired,293.73446377840907,205.97267468620262,70.84592816500711,184.16906747680162,1875.0,137,0.19487908961593173,0.007454544006498833,24.6000213009195,704
cafe,tired_17.wav,tired,276.03350313479626,192.74059847383404,51.474195447409734,158.9404354600337,1921.875,99,0.1554160125588697,0.010208657495327553,30.194643276881173,638
cafe,tired_18.wav,tired,246.3068181818182,113.18794693496878,29.1500569476082,83.80568142710523,867.1875,43,0.0979498861047836,0.01776952860544192,45.5179056748015,440
cafe,tired_19.wav,tired,336.79991883116884,237.55254648009497,62.34756097560975,164.9772353849787,1898.4375,117,0.1902439024390244,0.008527230021682635,41.08931811435695,616
cafe,tired_2.wav,tired,183.5430194805195,72.02354621503464,32.28375813449024,62.786305763234076,632.8125,61,0.13232104121475055,0.01662393982856562,14.897748796970813,462
cafe,tired_20.wav,tired,282.68411276223776,160.79548654239505,51.964754816112084,136.37074024709153,1875.0,98,0.17162872154115585,0.009941463095588476,38.2943953271545,572
cafe,tired_21.wav,tired,289.0802556818182,170.2902622963515,52.480780182232344,128.2841628868631,1476.5625,79,0.17995444191343962,0.009920963556597483,42.243911469171344,440
cafe,tired_22.wav,tired,264.327721402214,171.38653417021183,45.489532019704434,118.64804098593228,1359.375,123,0.15147783251231528,0.011489784841028165,35.98856667418813,813
cafe,tired_3.wav,tired,220.66761363636363,79.45030962622484,25.075987841945288,58.495958914445715,632.8125,31,0.09422492401215805,0.021431517562164874,23.547560782866043,330
cafe,tired_4.wav,tired,184.30397727272728,52.38184941603152,27.601793849658314,46.5285804544123,328.125,56,0.1275626423690205,0.019232510847103187,15.859641699899326,440
