start_sec,end_sec,label,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range
56.0,58.5,neutral,83.70798500932712,23.75264824634531,5.268615344012846,0.09501290321350098,8.8,1221.9824856585224,1751.529255319149,2586.82505737619,0.016373005319148936,0.5217161774635315,0.2819105386734009,0.11113903671503067,0.7253832839777706,35.256410256410255,0.1282051282051282,0.014577989113433023,172.55499718668503,750.0
57.0,59.5,neutral,81.40739704778505,27.086363710921113,5.877949771884578,0.08959967643022537,6.8,1285.3982253178233,1836.1037234042553,2646.075332940358,0.01780044880319149,0.5168580412864685,0.2748732268810272,0.12106771767139435,0.6669013826537213,33.35336538461539,0.13675213675213677,0.015632469242445844,162.7190781402598,750.0
58.0,60.5,neutral,80.09723812988452,30.544009762122673,7.352228128770834,0.08356785774230957,8.0,1373.6047664328146,1939.9268617021276,2788.3398911858017,0.018716755319148935,0.520200252532959,0.2659569978713989,0.11856889724731445,0.6301844176692089,46.173878205128204,0.1623931623931624,0.011375286823219255,161.68441760913876,867.1875
59.0,61.5,neutral,73.44705308112208,32.75710734207427,9.630475150134954,0.07198110222816467,8.8,1406.8101352500244,2011.7353723404256,2760.4841362820193,0.02092752659574468,0.534389853477478,0.2361188679933548,0.12098710238933563,0.5936686645863648,37.25961538461539,0.1111111111111111,0.013924580170919739,160.36713035360364,843.75
60.0,62.5,neutral,80.27862117765703,33.97646148224952,8.494058094533742,0.06994625926017761,7.2,1657.1983067208482,2504.122340425532,2939.8520159770087,0.027379072473404254,0.48894089460372925,0.2584473788738251,0.1395738273859024,0.36709450020576373,39.66346153846154,0.1111111111111111,0.01313355856728659,158.48658846496377,843.75
61.0,63.5,neutral,95.10421747303936,24.208856257700834,6.5100625107703,0.10120473057031631,7.6,1661.19153290014,2479.288563829787,2851.4182358337257,0.029845412234042554,0.5296636819839478,0.24472418427467346,0.13184426724910736,0.4297756796194322,42.76842948717949,0.1752136752136752,0.01222884472188235,152.2803950993342,632.8125
62.0,64.5,neutral,97.20351191009446,26.858403994418296,8.124591846164613,0.09749285131692886,8.0,1635.8289253080225,2636.0704787234044,2907.2464252897794,0.026057596409574467,0.5154062509536743,0.2606864869594574,0.13196197152137756,0.4247117377874175,41.86698717948718,0.18376068376068377,0.012139249697984064,143.27773253398573,632.8125
63.0,65.5,neutral,86.55422686854334,17.560828398529015,4.778565455458816,0.0886191800236702,7.6,1517.552828119962,2448.271276595745,2899.328914487666,0.020291722074468086,0.5674536228179932,0.21006940305233002,0.13028556108474731,0.5457018826432339,27.744391025641026,0.1282051282051282,0.018343928986163324,124.71079037458357,585.9375
64.0,66.5,neutral,75.16501556868101,25.421337933094723,6.3776074732339,0.06139056384563446,8.4,1475.9148556476473,2207.613031914894,2927.7348104590315,0.0202397772606383,0.5647841691970825,0.2017463892698288,0.12187380343675613,0.5774567156591207,32.95272435897436,0.11538461538461539,0.01583162758304385,144.48568192779948,585.9375
65.0,67.5,neutral,60.30504551730755,19.748084235497988,5.5515344649068705,0.027761520817875862,4.0,1365.5248271531918,2012.8324468085107,2896.9162429911526,0.015629155585106382,0.45175841450691223,0.25190073251724243,0.12960124015808105,0.47334166866920035,27.34375,0.05128205128205128,0.020045381711815375,79.73647820449898,421.875
87.0,89.5,neutral,70.4088627607969,27.96781818681015,5.6067796544606505,0.06415954977273941,5.2,1819.5624741207541,2881.815159574468,3234.549191946716,0.028818982712765957,0.49575552344322205,0.22803813219070435,0.14414799213409424,0.25277451004640605,41.86698717948718,0.12393162393162394,0.012911806267490509,154.115850548562,726.5625
88.0,90.5,neutral,92.0351289256014,38.18708725930039,8.64781439295688,0.11008124053478241,5.6,1919.8956692078077,2881.615691489362,3186.6815151034666,0.035833610372340424,0.5815494656562805,0.18610087037086487,0.12214068323373795,0.340930145384427,43.77003205128205,0.12393162393162394,0.012183882501356305,174.5186162917266,726.5625
89.0,91.5,neutral,95.66086551751486,36.24075849216886,11.083165985772103,0.10282151401042938,6.4,2037.2095041991538,3117.586436170213,3167.824670157855,0.04020736369680851,0.5766754746437073,0.17809340357780457,0.12893415987491608,0.23995184986071405,45.07211538461539,0.1581196581196581,0.01176570838843249,167.81893819321158,726.5625
90.0,92.5,neutral,85.99698609173288,35.79066808833343,5.2916372352124,0.09194314479827881,6.0,1675.2866438653552,2338.563829787234,3170.399754227204,0.024908577127659575,0.6034941673278809,0.18189775943756104,0.11183223873376846,0.5615127141122934,40.56490384615385,0.1581196581196581,0.012616844570492558,170.31420992180946,468.75
91.0,93.5,neutral,81.37926302193105,27.212186051876575,4.525829666232632,0.08388464152812958,5.6,1657.5025880523165,2467.619680851064,3260.837300355512,0.020489112367021278,0.5250400304794312,0.23867183923721313,0.14091132581233978,0.4531764026792257,40.86538461538461,0.1581196581196581,0.012746257838196377,157.30072667818357,492.1875
92.0,94.5,neutral,83.59501290645551,24.508258966106013,3.8085476343048232,0.0997324138879776,6.8,1944.4667670114454,3022.6396276595747,3225.5986708965092,0.033103390957446806,0.4995942711830139,0.23152495920658112,0.15931297838687897,0.18546525338007627,33.5536858974359,0.1282051282051282,0.016192643813958338,160.4704938399867,726.5625
93.0,95.5,neutral,77.3263611312364,23.58094286294556,3.4689728704683445,0.08238369226455688,6.0,1840.7199070833842,2793.4507978723404,3086.889285350275,0.031644780585106384,0.4812949001789093,0.25235071778297424,0.14967095851898193,0.24019046910215433,34.75560897435897,0.13247863247863248,0.015706563641496002,157.00672630593834,726.5625
94.0,96.5,neutral,65.35216607717354,20.641738163183764,4.064786444068682,0.06251706928014755,4.8,1583.881891517343,2363.3976063829787,3035.6108778105563,0.020175365691489363,0.4822426736354828,0.23523108661174774,0.14832627773284912,0.38535846591342604,32.25160256410256,0.11965811965811966,0.01820952678676097,147.04072356816351,726.5625
95.0,97.5,neutral,71.70626434021884,26.23433736057269,4.341682170151479,0.07355333864688873,5.6,1763.579057129524,2806.316489361702,3058.9170988864444,0.02721908244680851,0.4882286489009857,0.21287444233894348,0.1591869592666626,0.233118884511881,30.248397435897434,0.08547008547008547,0.01732116639099002,152.93167483036814,703.125
96.0,98.5,neutral,88.23338973135616,25.258148124754726,4.873333979213161,0.10461436957120895,8.0,1925.9629763251044,3077.692819148936,2997.521936395052,0.035278839760638295,0.4971274733543396,0.2354748398065567,0.1502472311258316,0.1802791268888863,42.868589743589745,0.14957264957264957,0.012274140020017912,173.34356168235928,703.125
97.0,99.5,neutral,92.50880132948468,25.367112238645976,6.376918266065684,0.1042887270450592,7.2,1716.2152334213524,2822.972074468085,2811.1176678861325,0.029722822473404256,0.4966367483139038,0.26547303795814514,0.1449475735425949,0.3221649002751845,47.576121794871796,0.18376068376068377,0.011022150738555057,185.83184842898444,843.75
98.0,100.5,neutral,81.74721237987886,30.774932783458357,9.793843070365504,0.0843195840716362,4.8,1792.0582211282742,2854.3882978723404,2792.6648148406325,0.03673121675531915,0.49124911427497864,0.22475960850715637,0.16198764741420746,0.1913558461080444,50.98157051282051,0.1623931623931624,0.010270594912088336,191.72073994920137,820.3125
99.0,101.5,neutral,75.42711033850817,29.76140945315891,6.3101397105594526,0.09076257050037384,4.8,1693.4470624218427,2620.2127659574467,2773.634654399009,0.03340882646276596,0.4935172498226166,0.22886407375335693,0.1524054855108261,0.27600576209555616,39.96394230769231,0.11538461538461539,0.014223415985318748,197.7490922948156,820.3125
100.0,102.5,neutral,81.18970571045273,38.96832079935393,8.494689937958725,0.09045181423425674,5.6,1426.3564489087319,2297.473404255319,2819.3626755201417,0.018411319813829787,0.5189023613929749,0.2323533147573471,0.13838163018226624,0.5137350059296898,30.348557692307693,0.09401709401709402,0.018110010541502918,172.17498846944457,632.8125
101.0,103.5,neutral,95.69354077229224,35.297694309018325,8.099716044659342,0.1189785748720169,7.2,1446.971779043493,2300.565159574468,2796.9675527376153,0.019556183510638297,0.509157657623291,0.269160658121109,0.13418707251548767,0.5323751141677265,38.561698717948715,0.1282051282051282,0.014642404056511509,165.06348625207994,703.125
102.0,104.5,neutral,97.46869423737222,38.75573813780614,7.09957860688999,0.10124172270298004,6.8,1518.584102965353,2385.1396276595747,2873.564534535835,0.021353474069148937,0.5023486018180847,0.26561179757118225,0.13566580414772034,0.47913891217760574,43.26923076923077,0.1581196581196581,0.012811965165751362,163.2448563360884,703.125
103.0,105.5,neutral,85.79391735414359,27.74363957300492,6.089655441139839,0.09196224063634872,8.0,1433.6495009776716,2056.615691489362,2796.4671567816813,0.021000249335106382,0.5175425410270691,0.25812146067619324,0.12651784718036652,0.569504879377967,47.87660256410256,0.20512820512820512,0.011133243542688881,157.03358576720697,539.0625
